COD_MUERTE;SEXO;MES;Muertes;Código de la CIE-10 cuatro caracteres;Descripcion  de códigos mortalidad a cuatro caracteres
D379;Femenino;5;2;D379;Tumor de comportamiento incierto o desconocido de organos digestivos, sitio no especificado
D379;Femenino;6;1;D379;Tumor de comportamiento incierto o desconocido de organos digestivos, sitio no especificado
D379;Femenino;7;2;D379;Tumor de comportamiento incierto o desconocido de organos digestivos, sitio no especificado
D379;Femenino;8;3;D379;Tumor de comportamiento incierto o desconocido de organos digestivos, sitio no especificado
D379;Femenino;9;1;D379;Tumor de comportamiento incierto o desconocido de organos digestivos, sitio no especificado
D379;Femenino;10;4;D379;Tumor de comportamiento incierto o desconocido de organos digestivos, sitio no especificado
D379;Femenino;11;1;D379;Tumor de comportamiento incierto o desconocido de organos digestivos, sitio no especificado
D379;Femenino;12;1;D379;Tumor de comportamiento incierto o desconocido de organos digestivos, sitio no especificado
D380;Masculino;1;1;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Masculino;2;4;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Masculino;3;1;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Masculino;4;1;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Masculino;5;1;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Masculino;6;1;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Masculino;7;4;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Masculino;8;2;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Masculino;9;2;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Masculino;10;2;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Masculino;11;3;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Masculino;12;2;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Femenino;2;1;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Femenino;5;1;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Femenino;6;1;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Femenino;7;1;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Femenino;8;1;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Femenino;9;1;D380;Tumor de comportamiento incierto o desconocido de laringe
D380;Femenino;10;1;D380;Tumor de comportamiento incierto o desconocido de laringe
D381;Masculino;1;25;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Masculino;2;16;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Masculino;3;15;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Masculino;4;18;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Masculino;5;13;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Masculino;6;22;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Masculino;7;24;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Masculino;8;17;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Masculino;9;29;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Masculino;10;32;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Masculino;11;25;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Masculino;12;19;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Femenino;1;20;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Femenino;2;20;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Femenino;3;14;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Femenino;4;15;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Femenino;5;14;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Femenino;6;9;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Femenino;7;14;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Femenino;8;18;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Femenino;9;8;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Femenino;10;15;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Femenino;11;12;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D381;Femenino;12;10;D381;Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon
D382;Masculino;1;2;D382;Tumor de comportamiento incierto o desconocido de la pleura
D382;Masculino;6;2;D382;Tumor de comportamiento incierto o desconocido de la pleura
D382;Masculino;8;1;D382;Tumor de comportamiento incierto o desconocido de la pleura
D382;Masculino;9;1;D382;Tumor de comportamiento incierto o desconocido de la pleura
D382;Femenino;3;1;D382;Tumor de comportamiento incierto o desconocido de la pleura
D382;Femenino;7;1;D382;Tumor de comportamiento incierto o desconocido de la pleura
D382;Femenino;12;1;D382;Tumor de comportamiento incierto o desconocido de la pleura
D383;Masculino;1;7;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Masculino;2;4;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Masculino;3;5;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Masculino;4;2;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Masculino;5;5;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Masculino;6;4;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Masculino;7;5;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Masculino;8;1;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Masculino;9;2;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Masculino;10;2;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Masculino;11;5;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Masculino;12;5;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Femenino;1;3;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Femenino;3;2;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Femenino;4;2;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Femenino;6;3;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Femenino;7;2;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Femenino;9;1;D383;Tumor de comportamiento incierto o desconocido del mediastino
D383;Femenino;10;3;D383;Tumor de comportamiento incierto o desconocido del mediastino
D384;Masculino;5;1;D384;Tumor de comportamiento incierto o desconocido del timo
D385;Masculino;5;2;D385;Tumor de comportamiento incierto o desconocido de otros organos respiratorios y del oido medio
D385;Masculino;6;1;D385;Tumor de comportamiento incierto o desconocido de otros organos respiratorios y del oido medio
D385;Masculino;8;1;D385;Tumor de comportamiento incierto o desconocido de otros organos respiratorios y del oido medio
D385;Masculino;11;1;D385;Tumor de comportamiento incierto o desconocido de otros organos respiratorios y del oido medio
D385;Femenino;5;1;D385;Tumor de comportamiento incierto o desconocido de otros organos respiratorios y del oido medio
D386;Masculino;6;1;D386;Tumor de comportamiento incierto o desconocido de organos respiratorios, sitio no especificado
D386;Femenino;4;1;D386;Tumor de comportamiento incierto o desconocido de organos respiratorios, sitio no especificado
D386;Femenino;9;1;D386;Tumor de comportamiento incierto o desconocido de organos respiratorios, sitio no especificado
D386;Femenino;11;1;D386;Tumor de comportamiento incierto o desconocido de organos respiratorios, sitio no especificado
D390;Femenino;1;3;D390;Tumor de comportamiento incierto o desconocido del utero
D390;Femenino;2;3;D390;Tumor de comportamiento incierto o desconocido del utero
D390;Femenino;3;7;D390;Tumor de comportamiento incierto o desconocido del utero
D390;Femenino;5;1;D390;Tumor de comportamiento incierto o desconocido del utero
D390;Femenino;6;3;D390;Tumor de comportamiento incierto o desconocido del utero
D390;Femenino;7;7;D390;Tumor de comportamiento incierto o desconocido del utero
D390;Femenino;8;4;D390;Tumor de comportamiento incierto o desconocido del utero
D390;Femenino;9;4;D390;Tumor de comportamiento incierto o desconocido del utero
D390;Femenino;10;2;D390;Tumor de comportamiento incierto o desconocido del utero
D390;Femenino;11;5;D390;Tumor de comportamiento incierto o desconocido del utero
D390;Femenino;12;5;D390;Tumor de comportamiento incierto o desconocido del utero
D391;Femenino;1;6;D391;Tumor de comportamiento incierto o desconocido del ovario
D391;Femenino;2;9;D391;Tumor de comportamiento incierto o desconocido del ovario
D391;Femenino;3;6;D391;Tumor de comportamiento incierto o desconocido del ovario
D391;Femenino;4;6;D391;Tumor de comportamiento incierto o desconocido del ovario
D391;Femenino;5;6;D391;Tumor de comportamiento incierto o desconocido del ovario
D391;Femenino;6;4;D391;Tumor de comportamiento incierto o desconocido del ovario
D391;Femenino;7;3;D391;Tumor de comportamiento incierto o desconocido del ovario
D391;Femenino;8;4;D391;Tumor de comportamiento incierto o desconocido del ovario
D391;Femenino;9;7;D391;Tumor de comportamiento incierto o desconocido del ovario
D391;Femenino;10;5;D391;Tumor de comportamiento incierto o desconocido del ovario
D391;Femenino;11;3;D391;Tumor de comportamiento incierto o desconocido del ovario
D391;Femenino;12;9;D391;Tumor de comportamiento incierto o desconocido del ovario
D397;Femenino;1;1;D397;Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos
D397;Femenino;2;1;D397;Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos
D397;Femenino;3;1;D397;Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos
D397;Femenino;6;2;D397;Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos
D397;Femenino;8;1;D397;Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos
D397;Femenino;9;2;D397;Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos
D397;Femenino;11;1;D397;Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos
D397;Femenino;12;1;D397;Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos
D399;Femenino;2;1;D399;Tumor de comportamiento incierto o desconocido de organo genital femenino no especificado
D399;Femenino;10;1;D399;Tumor de comportamiento incierto o desconocido de organo genital femenino no especificado
D399;Femenino;12;1;D399;Tumor de comportamiento incierto o desconocido de organo genital femenino no especificado
D400;Masculino;2;4;D400;Tumor de comportamiento incierto o desconocido de la prostata
D400;Masculino;3;2;D400;Tumor de comportamiento incierto o desconocido de la prostata
D400;Masculino;5;1;D400;Tumor de comportamiento incierto o desconocido de la prostata
D400;Masculino;6;4;D400;Tumor de comportamiento incierto o desconocido de la prostata
D400;Masculino;7;2;D400;Tumor de comportamiento incierto o desconocido de la prostata
D400;Masculino;8;4;D400;Tumor de comportamiento incierto o desconocido de la prostata
D400;Masculino;9;5;D400;Tumor de comportamiento incierto o desconocido de la prostata
D400;Masculino;10;1;D400;Tumor de comportamiento incierto o desconocido de la prostata
D400;Masculino;11;3;D400;Tumor de comportamiento incierto o desconocido de la prostata
D400;Masculino;12;7;D400;Tumor de comportamiento incierto o desconocido de la prostata
D401;Masculino;8;2;D401;Tumor de comportamiento incierto o desconocido del testiculo
D401;Masculino;11;2;D401;Tumor de comportamiento incierto o desconocido del testiculo
D407;Masculino;1;1;D407;Tumor de comportamiento incierto o desconocido de otros organos genitales masculinos
D407;Masculino;5;2;D407;Tumor de comportamiento incierto o desconocido de otros organos genitales masculinos
D410;Masculino;1;1;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Masculino;2;2;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Masculino;3;2;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Masculino;4;2;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Masculino;5;4;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Masculino;6;3;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Masculino;7;2;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Masculino;9;2;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Masculino;10;1;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Masculino;11;5;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Masculino;12;2;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Femenino;1;1;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Femenino;2;2;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Femenino;4;3;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Femenino;5;2;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Femenino;6;2;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Femenino;7;2;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Femenino;8;4;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Femenino;10;1;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Femenino;11;1;D410;Tumor de comportamiento incierto o desconocido del rinon
D410;Femenino;12;5;D410;Tumor de comportamiento incierto o desconocido del rinon
D411;Masculino;7;1;D411;Tumor de comportamiento incierto o desconocido de la pelvis renal
D414;Masculino;1;1;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D414;Masculino;2;2;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D414;Masculino;3;2;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D414;Masculino;4;1;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D414;Masculino;5;2;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D414;Masculino;6;1;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D414;Masculino;7;2;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D414;Masculino;8;1;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D414;Masculino;9;1;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D414;Masculino;10;2;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D414;Masculino;12;5;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D414;Femenino;1;1;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D414;Femenino;2;1;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D414;Femenino;3;2;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D414;Femenino;5;1;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D414;Femenino;8;1;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D414;Femenino;9;1;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D414;Femenino;12;2;D414;Tumor de comportamiento incierto o desconocido de la vejiga
D419;Masculino;1;1;D419;Tumor de comportamiento incierto o desconocido de organo urinario no especificado
D419;Masculino;4;1;D419;Tumor de comportamiento incierto o desconocido de organo urinario no especificado
D419;Femenino;3;2;D419;Tumor de comportamiento incierto o desconocido de organo urinario no especificado
D420;Masculino;3;1;D420;Tumor de comportamiento incierto o desconocido de las meninges cerebrales
D420;Masculino;7;1;D420;Tumor de comportamiento incierto o desconocido de las meninges cerebrales
D420;Femenino;9;1;D420;Tumor de comportamiento incierto o desconocido de las meninges cerebrales
D420;Femenino;11;2;D420;Tumor de comportamiento incierto o desconocido de las meninges cerebrales
D420;Femenino;12;1;D420;Tumor de comportamiento incierto o desconocido de las meninges cerebrales
D429;Masculino;2;2;D429;Tumor de comportamiento incierto o desconocido de las meninges, parte no especificada
D429;Masculino;3;3;D429;Tumor de comportamiento incierto o desconocido de las meninges, parte no especificada
D429;Masculino;5;1;D429;Tumor de comportamiento incierto o desconocido de las meninges, parte no especificada
D429;Masculino;9;1;D429;Tumor de comportamiento incierto o desconocido de las meninges, parte no especificada
D429;Masculino;11;1;D429;Tumor de comportamiento incierto o desconocido de las meninges, parte no especificada
D429;Femenino;3;2;D429;Tumor de comportamiento incierto o desconocido de las meninges, parte no especificada
D429;Femenino;4;1;D429;Tumor de comportamiento incierto o desconocido de las meninges, parte no especificada
D429;Femenino;7;1;D429;Tumor de comportamiento incierto o desconocido de las meninges, parte no especificada
D429;Femenino;8;2;D429;Tumor de comportamiento incierto o desconocido de las meninges, parte no especificada
D429;Femenino;10;1;D429;Tumor de comportamiento incierto o desconocido de las meninges, parte no especificada
D430;Masculino;1;16;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Masculino;2;29;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Masculino;3;24;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Masculino;4;30;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Masculino;5;17;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Masculino;6;21;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Masculino;7;23;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Masculino;8;23;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Masculino;9;22;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Masculino;10;24;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Masculino;11;19;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Masculino;12;16;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Femenino;1;19;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Femenino;2;25;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Femenino;3;17;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Femenino;4;23;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Femenino;5;21;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Femenino;6;12;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Femenino;7;23;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Femenino;8;15;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Femenino;9;21;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Femenino;10;19;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Femenino;11;21;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D430;Femenino;12;18;D430;Tumor de comportamiento incierto o desconocido del encefalo, supratentorial
D431;Masculino;5;1;D431;Tumor de comportamiento incierto o desconocido del encefalo, infratentorial
D431;Masculino;6;1;D431;Tumor de comportamiento incierto o desconocido del encefalo, infratentorial
D431;Masculino;7;1;D431;Tumor de comportamiento incierto o desconocido del encefalo, infratentorial
D431;Masculino;8;1;D431;Tumor de comportamiento incierto o desconocido del encefalo, infratentorial
D431;Masculino;11;2;D431;Tumor de comportamiento incierto o desconocido del encefalo, infratentorial
D431;Masculino;12;2;D431;Tumor de comportamiento incierto o desconocido del encefalo, infratentorial
D431;Femenino;2;6;D431;Tumor de comportamiento incierto o desconocido del encefalo, infratentorial
D431;Femenino;3;1;D431;Tumor de comportamiento incierto o desconocido del encefalo, infratentorial
D431;Femenino;4;2;D431;Tumor de comportamiento incierto o desconocido del encefalo, infratentorial
D431;Femenino;6;1;D431;Tumor de comportamiento incierto o desconocido del encefalo, infratentorial
D431;Femenino;7;2;D431;Tumor de comportamiento incierto o desconocido del encefalo, infratentorial
D431;Femenino;8;2;D431;Tumor de comportamiento incierto o desconocido del encefalo, infratentorial
D431;Femenino;10;1;D431;Tumor de comportamiento incierto o desconocido del encefalo, infratentorial
D431;Femenino;11;1;D431;Tumor de comportamiento incierto o desconocido del encefalo, infratentorial
D431;Femenino;12;3;D431;Tumor de comportamiento incierto o desconocido del encefalo, infratentorial
D432;Masculino;1;1;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Masculino;2;1;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Masculino;3;2;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Masculino;4;1;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Masculino;5;1;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Masculino;6;6;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Masculino;7;2;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Masculino;8;4;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Masculino;9;5;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Masculino;10;3;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Masculino;11;3;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Masculino;12;4;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Femenino;1;2;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Femenino;2;1;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Femenino;3;3;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Femenino;4;4;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Femenino;5;2;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Femenino;6;1;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Femenino;7;4;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Femenino;8;4;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Femenino;9;2;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Femenino;10;2;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Femenino;11;6;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D432;Femenino;12;1;D432;Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada
D433;Femenino;12;1;D433;Tumor de comportamiento incierto o desconocido de los nervios craneales
D434;Masculino;1;1;D434;Tumor de comportamiento incierto o desconocido de la medula espinal
D434;Masculino;3;1;D434;Tumor de comportamiento incierto o desconocido de la medula espinal
D434;Masculino;4;1;D434;Tumor de comportamiento incierto o desconocido de la medula espinal
D434;Masculino;8;1;D434;Tumor de comportamiento incierto o desconocido de la medula espinal
D434;Masculino;9;1;D434;Tumor de comportamiento incierto o desconocido de la medula espinal
D434;Masculino;12;1;D434;Tumor de comportamiento incierto o desconocido de la medula espinal
D434;Femenino;2;1;D434;Tumor de comportamiento incierto o desconocido de la medula espinal
D434;Femenino;3;1;D434;Tumor de comportamiento incierto o desconocido de la medula espinal
D434;Femenino;6;1;D434;Tumor de comportamiento incierto o desconocido de la medula espinal
D434;Femenino;7;1;D434;Tumor de comportamiento incierto o desconocido de la medula espinal
D434;Femenino;11;1;D434;Tumor de comportamiento incierto o desconocido de la medula espinal
D439;Masculino;3;2;D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado
D439;Masculino;4;1;D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado
D439;Masculino;6;3;D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado
D439;Masculino;7;1;D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado
D439;Masculino;8;3;D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado
D439;Masculino;9;2;D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado
D439;Masculino;10;1;D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado
D439;Masculino;11;1;D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado
D439;Masculino;12;1;D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado
D439;Femenino;2;2;D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado
D439;Femenino;4;1;D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado
D439;Femenino;5;1;D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado
D439;Femenino;6;1;D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado
D439;Femenino;7;1;D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado
D439;Femenino;8;3;D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado
D439;Femenino;9;2;D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado
D439;Femenino;11;4;D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado
D440;Masculino;4;1;D440;Tumor de comportamiento incierto o desconocido de la glandula tiroides
D440;Masculino;5;2;D440;Tumor de comportamiento incierto o desconocido de la glandula tiroides
D440;Masculino;9;1;D440;Tumor de comportamiento incierto o desconocido de la glandula tiroides
D440;Masculino;12;1;D440;Tumor de comportamiento incierto o desconocido de la glandula tiroides
D440;Femenino;1;1;D440;Tumor de comportamiento incierto o desconocido de la glandula tiroides
D440;Femenino;2;3;D440;Tumor de comportamiento incierto o desconocido de la glandula tiroides
D440;Femenino;5;1;D440;Tumor de comportamiento incierto o desconocido de la glandula tiroides
D440;Femenino;7;1;D440;Tumor de comportamiento incierto o desconocido de la glandula tiroides
D440;Femenino;8;1;D440;Tumor de comportamiento incierto o desconocido de la glandula tiroides
D441;Masculino;1;1;D441;Tumor de comportamiento incierto o desconocido de la glandula suprarrenal
D441;Masculino;2;1;D441;Tumor de comportamiento incierto o desconocido de la glandula suprarrenal
D441;Masculino;7;1;D441;Tumor de comportamiento incierto o desconocido de la glandula suprarrenal
D441;Femenino;1;1;D441;Tumor de comportamiento incierto o desconocido de la glandula suprarrenal
D441;Femenino;2;1;D441;Tumor de comportamiento incierto o desconocido de la glandula suprarrenal
D441;Femenino;5;1;D441;Tumor de comportamiento incierto o desconocido de la glandula suprarrenal
D441;Femenino;8;1;D441;Tumor de comportamiento incierto o desconocido de la glandula suprarrenal
D442;Masculino;2;1;D442;Tumor de comportamiento incierto o desconocido de la glandula paratiroides
D442;Femenino;8;1;D442;Tumor de comportamiento incierto o desconocido de la glandula paratiroides
D443;Masculino;1;3;D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis
D443;Masculino;3;2;D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis
D443;Masculino;5;1;D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis
D443;Masculino;6;1;D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis
D443;Masculino;7;3;D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis
D443;Masculino;8;1;D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis
D443;Masculino;9;1;D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis
D443;Masculino;10;2;D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis
D443;Masculino;11;1;D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis
D443;Masculino;12;2;D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis
D443;Femenino;1;1;D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis
D443;Femenino;2;1;D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis
D443;Femenino;3;2;D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis
D443;Femenino;4;1;D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis
D443;Femenino;5;1;D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis
D443;Femenino;8;1;D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis
D443;Femenino;9;1;D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis
